Installation ID,Permit ID,Operator,Installation name,Address,Allocations,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Allocation total (per installation) ,Unnamed: 11,Lat,Lon
IT-581,IT-A-847,Buzzi Unicem Spa,Cementeria di Travesio,"Via Luigi Buzzi, 6 - 15033 - CASALE MONFERRATO (AL)",270468.0,270468.0,270468.0,270468.0,270468.0,1352340.0,,45.1287251,8.4517889
IT-582,IT-A-849,CALCISERNIA S.P.A.,CALCISERNIA S.P.A.,"VIA GIOVANNI BERTA, 199 - 86170 - ISERNIA (IS)",105316.0,105316.0,105316.0,105316.0,105316.0,526580.0,,41.5988489,14.2343773
IT-583,IT-A-850,COLACEM SPA,SESTO CAMPANO,"VIA DELLA VITTORINA, 60 - 06024 - GUBBIO (PG)",758523.0,758523.0,758523.0,758523.0,758523.0,3792615.0,,43.3517605,12.5772959
IT-584,IT-A-852,FORNACI DI MASSERANO BRUNO TARELLO S.A.,FORNACI DI MASSERANO BRUNO TARELLO S.A.,"VIA 2 GIUGNO, 30 - 13866 - MASSERANO (BI)",16369.0,16369.0,16369.0,16369.0,16369.0,81845.0,,45.5636077,8.2455155
IT-585,IT-A-853,Fenice S.p.a.,Centrale termica,"via Acqui, 86 - 10098 - RIVOLI (TO)",7677.0,7677.0,7677.0,7677.0,7677.0,38385.0,,45.06616,7.5611447
IT-950,IT-A-858,ASTEM GESTIONI S.r.l,Impianto di cogenerazione e teleriscaldamento Città di Lodi,"Strada Vecchia Cremonese, sn - 26900 - LODI (LO)",6473.0,6473.0,6473.0,6473.0,6473.0,32365.0,,45.3046772,9.5130453
IT-586,IT-A-859,E.ON Produzione S.p.A.,Centrale di Tavazzano e Montanaso,"Via Mangili, 9 - 00100 - ROMA (RM)",2604052.0,2362639.0,2173794.0,2026918.0,1901097.0,11068500.0,,41.9192979,12.4822574
IT-587,IT-A-860,Trenitalia SpA,Stabilimento Trenitalia di Rimini,"Piazza della Croce Rossa, 1 - 00100 - ROMA (RM)",2946.0,2946.0,2946.0,2946.0,2946.0,14730.0,,41.908511,12.5035426
IT-589,IT-A-864,Buzzi Unicem Spa,Cementeria di Santarcangelo di Romagna,"Via Luigi Buzzi, 6 - 15033 - CASALE MONFERRATO (AL)",191302.0,191302.0,191302.0,191302.0,191302.0,956510.0,,45.1287251,8.4517889
IT-592,IT-A-867,Biomasse Italia S.p.A.,Centrale di Crotone,"S.S. 106 Zona Industriale, s.n.c. - 88900 - CROTONE (KR)",247.0,247.0,247.0,247.0,247.0,1235.0,,39.1873894,16.8782819
IT-593,IT-A-868,Biomasse Italia S.p.A.,Centrale di Strongoli,"S.S. 106 Zona Industriale, s.n.c. - 88900 - CROTONE (KR)",4699.0,4699.0,4699.0,4699.0,4699.0,23495.0,,39.1873894,16.8782819
